experiment_id,log_file,k1_allocation,k1_value,k2_value,cluster_ids,average_energy_for_clusters,local_iterations_for_clusters,number_of_clients_in_each_cluster
27,Experiment_03-03-2025-12-41-09,reversed,5,10,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[3, 6, 6, 5, 6]","[11, 10, 5, 14, 10]"
27,Experiment_03-03-2025-12-44-04,non-reversed,5,10,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[6, 3, 6, 6, 5]","[5, 5, 5, 5, 5]"
27,Experiment_03-03-2025-12-57-34,uniform,5,10,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[5, 5, 5, 5, 5]","[11, 10, 5, 14, 10]"
28,Experiment_03-03-2025-13-01-32,reversed,10,10,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[6, 13, 13, 11, 13]","[11, 10, 5, 14, 10]"
28,Experiment_03-03-2025-13-03-22,uniform,10,10,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[10, 10, 10, 10, 10]","[11, 10, 5, 14, 10]"
28,Experiment_03-03-2025-13-02-20,non-reversed,10,10,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[13, 6, 13, 13, 11]","[5, 5, 5, 5, 5]"
29,Experiment_04-03-2025-18-19-17,non-reversed,20,10,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[26, 13, 26, 26, 23]","[5, 5, 5, 5, 5]"
29,Experiment_04-03-2025-18-20-18,uniform,20,10,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[20, 20, 20, 20, 20]","[11, 10, 5, 14, 10]"
29,Experiment_04-03-2025-18-18-30,reversed,20,10,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[13, 26, 26, 23, 26]","[11, 10, 5, 14, 10]"
30,Experiment_04-03-2025-18-26-48,non-reversed,5,20,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[6, 3, 6, 6, 5]","[5, 5, 5, 5, 5]"
30,Experiment_04-03-2025-18-26-12,reversed,5,20,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[3, 6, 6, 5, 6]","[11, 10, 5, 14, 10]"
30,Experiment_04-03-2025-18-27-52,uniform,5,20,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[5, 5, 5, 5, 5]","[11, 10, 5, 14, 10]"
31,Experiment_04-03-2025-23-21-16,uniform,5,5,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[5, 5, 5, 5, 5]","[11, 10, 5, 14, 10]"
31,Experiment_04-03-2025-23-19-40,reversed,5,5,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[3, 6, 6, 5, 6]","[11, 10, 5, 14, 10]"
31,Experiment_04-03-2025-23-20-07,non-reversed,5,5,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[6, 3, 6, 6, 5]","[5, 5, 5, 5, 5]"
32,Experiment_06-03-2025-01-09-10,uniform,10,5,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[10, 10, 10, 10, 10]","[11, 10, 5, 14, 10]"
32,Experiment_06-03-2025-01-08-07,non-reversed,10,5,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[13, 6, 13, 13, 11]","[5, 5, 5, 5, 5]"
32,Experiment_06-03-2025-01-07-36,reversed,10,5,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[6, 13, 13, 11, 13]","[11, 10, 5, 14, 10]"
33,Experiment_06-03-2025-01-14-10,non-reversed,20,5,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[26, 13, 26, 26, 23]","[5, 5, 5, 5, 5]"
33,Experiment_06-03-2025-01-15-12,uniform,20,5,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[20, 20, 20, 20, 20]","[11, 10, 5, 14, 10]"
33,Experiment_06-03-2025-01-13-31,reversed,20,5,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[13, 26, 26, 23, 26]","[11, 10, 5, 14, 10]"
34,Experiment_06-03-2025-01-45-04,non-reversed,10,20,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[13, 6, 13, 13, 11]","[5, 5, 5, 5, 5]"
34,Experiment_06-03-2025-01-44-25,reversed,10,20,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[6, 13, 13, 11, 13]","[11, 10, 5, 14, 10]"
34,Experiment_06-03-2025-01-46-11,uniform,10,20,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[10, 10, 10, 10, 10]","[11, 10, 5, 14, 10]"
35,Experiment_06-03-2025-01-58-37,non-reversed,20,20,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[26, 13, 26, 26, 23]","[5, 5, 5, 5, 5]"
35,Experiment_06-03-2025-01-56-36,reversed,20,20,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[13, 26, 26, 23, 26]","[11, 10, 5, 14, 10]"
35,Experiment_06-03-2025-02-00-23,uniform,20,20,"[0, 1, 2, 3, 4]","[3.5e-05, 1.2e-05, 2.1e-05, 2.8e-05, 1.7e-05]","[20, 20, 20, 20, 20]","[11, 10, 5, 14, 10]"
