experiment_id,k1_allocation,cluster_id,average_energy_for_clusters,local_iterations_for_clusters,number_of_clients_in_each_cluster
27,reversed,0,3.5e-05,3,11
27,reversed,1,1.2e-05,6,10
27,reversed,2,2.1e-05,6,5
27,reversed,3,2.8e-05,5,14
27,reversed,4,1.7e-05,6,10
27,non-reversed,0,3.5e-05,6,5
27,non-reversed,1,1.2e-05,3,5
27,non-reversed,2,2.1e-05,6,5
27,non-reversed,3,2.8e-05,6,5
27,non-reversed,4,1.7e-05,5,5
27,uniform,0,3.5e-05,5,11
27,uniform,1,1.2e-05,5,10
27,uniform,2,2.1e-05,5,5
27,uniform,3,2.8e-05,5,14
27,uniform,4,1.7e-05,5,10
28,reversed,0,3.5e-05,6,11
28,reversed,1,1.2e-05,13,10
28,reversed,2,2.1e-05,13,5
28,reversed,3,2.8e-05,11,14
28,reversed,4,1.7e-05,13,10
28,uniform,0,3.5e-05,10,11
28,uniform,1,1.2e-05,10,10
28,uniform,2,2.1e-05,10,5
28,uniform,3,2.8e-05,10,14
28,uniform,4,1.7e-05,10,10
28,non-reversed,0,3.5e-05,13,5
28,non-reversed,1,1.2e-05,6,5
28,non-reversed,2,2.1e-05,13,5
28,non-reversed,3,2.8e-05,13,5
28,non-reversed,4,1.7e-05,11,5
29,non-reversed,0,3.5e-05,26,5
29,non-reversed,1,1.2e-05,13,5
29,non-reversed,2,2.1e-05,26,5
29,non-reversed,3,2.8e-05,26,5
29,non-reversed,4,1.7e-05,23,5
29,uniform,0,3.5e-05,20,11
29,uniform,1,1.2e-05,20,10
29,uniform,2,2.1e-05,20,5
29,uniform,3,2.8e-05,20,14
29,uniform,4,1.7e-05,20,10
29,reversed,0,3.5e-05,13,11
29,reversed,1,1.2e-05,26,10
29,reversed,2,2.1e-05,26,5
29,reversed,3,2.8e-05,23,14
29,reversed,4,1.7e-05,26,10
30,non-reversed,0,3.5e-05,6,5
30,non-reversed,1,1.2e-05,3,5
30,non-reversed,2,2.1e-05,6,5
30,non-reversed,3,2.8e-05,6,5
30,non-reversed,4,1.7e-05,5,5
30,reversed,0,3.5e-05,3,11
30,reversed,1,1.2e-05,6,10
30,reversed,2,2.1e-05,6,5
30,reversed,3,2.8e-05,5,14
30,reversed,4,1.7e-05,6,10
30,uniform,0,3.5e-05,5,11
30,uniform,1,1.2e-05,5,10
30,uniform,2,2.1e-05,5,5
30,uniform,3,2.8e-05,5,14
30,uniform,4,1.7e-05,5,10
31,uniform,0,3.5e-05,5,11
31,uniform,1,1.2e-05,5,10
31,uniform,2,2.1e-05,5,5
31,uniform,3,2.8e-05,5,14
31,uniform,4,1.7e-05,5,10
31,reversed,0,3.5e-05,3,11
31,reversed,1,1.2e-05,6,10
31,reversed,2,2.1e-05,6,5
31,reversed,3,2.8e-05,5,14
31,reversed,4,1.7e-05,6,10
31,non-reversed,0,3.5e-05,6,5
31,non-reversed,1,1.2e-05,3,5
31,non-reversed,2,2.1e-05,6,5
31,non-reversed,3,2.8e-05,6,5
31,non-reversed,4,1.7e-05,5,5
32,uniform,0,3.5e-05,10,11
32,uniform,1,1.2e-05,10,10
32,uniform,2,2.1e-05,10,5
32,uniform,3,2.8e-05,10,14
32,uniform,4,1.7e-05,10,10
32,non-reversed,0,3.5e-05,13,5
32,non-reversed,1,1.2e-05,6,5
32,non-reversed,2,2.1e-05,13,5
32,non-reversed,3,2.8e-05,13,5
32,non-reversed,4,1.7e-05,11,5
32,reversed,0,3.5e-05,6,11
32,reversed,1,1.2e-05,13,10
32,reversed,2,2.1e-05,13,5
32,reversed,3,2.8e-05,11,14
32,reversed,4,1.7e-05,13,10
33,non-reversed,0,3.5e-05,26,5
33,non-reversed,1,1.2e-05,13,5
33,non-reversed,2,2.1e-05,26,5
33,non-reversed,3,2.8e-05,26,5
33,non-reversed,4,1.7e-05,23,5
33,uniform,0,3.5e-05,20,11
33,uniform,1,1.2e-05,20,10
33,uniform,2,2.1e-05,20,5
33,uniform,3,2.8e-05,20,14
33,uniform,4,1.7e-05,20,10
33,reversed,0,3.5e-05,13,11
33,reversed,1,1.2e-05,26,10
33,reversed,2,2.1e-05,26,5
33,reversed,3,2.8e-05,23,14
33,reversed,4,1.7e-05,26,10
34,non-reversed,0,3.5e-05,13,5
34,non-reversed,1,1.2e-05,6,5
34,non-reversed,2,2.1e-05,13,5
34,non-reversed,3,2.8e-05,13,5
34,non-reversed,4,1.7e-05,11,5
34,reversed,0,3.5e-05,6,11
34,reversed,1,1.2e-05,13,10
34,reversed,2,2.1e-05,13,5
34,reversed,3,2.8e-05,11,14
34,reversed,4,1.7e-05,13,10
34,uniform,0,3.5e-05,10,11
34,uniform,1,1.2e-05,10,10
34,uniform,2,2.1e-05,10,5
34,uniform,3,2.8e-05,10,14
34,uniform,4,1.7e-05,10,10
35,non-reversed,0,3.5e-05,26,5
35,non-reversed,1,1.2e-05,13,5
35,non-reversed,2,2.1e-05,26,5
35,non-reversed,3,2.8e-05,26,5
35,non-reversed,4,1.7e-05,23,5
35,reversed,0,3.5e-05,13,11
35,reversed,1,1.2e-05,26,10
35,reversed,2,2.1e-05,26,5
35,reversed,3,2.8e-05,23,14
35,reversed,4,1.7e-05,26,10
35,uniform,0,3.5e-05,20,11
35,uniform,1,1.2e-05,20,10
35,uniform,2,2.1e-05,20,5
35,uniform,3,2.8e-05,20,14
35,uniform,4,1.7e-05,20,10
